STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722146,12816, 19431101,   66.4,18,   54.9,18, 9999.9, 0, 9999.9, 0,  26.3,18,   4.9,18,   8.9, 999.9,   80.2*,  51.3*, 0.00I,999.9, 000000,
722146,12816, 19431102,   68.4,24,   60.7,24, 9999.9, 0, 9999.9, 0,  51.4,24,   1.8,24,   7.0, 999.9,   81.3*,  58.3*, 0.00I,999.9, 000000,
722146,12816, 19431103,   68.6,24,   63.8,24, 9999.9, 0, 9999.9, 0,  12.3,24,   1.1,24,   5.1, 999.9,   74.3*,  64.4*,99.99 ,999.9, 010000,
722146,12816, 19431104,   63.7,24,   52.5,24, 9999.9, 0, 9999.9, 0,   6.5,24,   4.2,24,   8.9, 999.9,   76.3*,  53.4*, 0.00I,999.9, 000000,
722146,12816, 19431105,   62.5,23,   53.3,23, 9999.9, 0, 9999.9, 0,  20.2,23,   2.4,23,   7.0, 999.9,   74.3*,  54.3*, 0.00I,999.9, 100000,
722146,12816, 19431106,   59.1,24,   47.8,24, 9999.9, 0, 9999.9, 0,  29.1,24,   2.8,24,   8.9, 999.9,   77.4*,  44.4*, 0.00I,999.9, 000000,
722146,12816, 19431107,   70.7,24,   64.1,24, 9999.9, 0, 9999.9, 0,  40.3,24,   4.2,24,  13.0, 999.9,   86.4*,  58.3*,99.99 ,999.9, 010010,
722146,12816, 19431108,   69.8,24,   65.9,24, 9999.9, 0, 9999.9, 0,  29.5,24,   5.8,24,  15.0, 999.9,   82.4*,  55.4*,99.99 ,999.9, 010000,
722146,12816, 19431109,   53.2,24,   44.0,24, 9999.9, 0, 9999.9, 0,  80.2,24,   4.1,24,   8.9, 999.9,   60.3*,  49.3*,99.99 ,999.9, 010000,
722146,12816, 19431110,   46.6,24,   35.7,24, 9999.9, 0, 9999.9, 0,  41.4,24,   3.2,24,   8.9, 999.9,   60.3*,  37.4*, 0.00I,999.9, 000000,
722146,12816, 19431111,   46.5,24,   32.8,24, 9999.9, 0, 9999.9, 0,  52.2,24,   3.3,24,   8.9, 999.9,   64.4*,  30.4*, 0.00I,999.9, 000000,
722146,12816, 19431112,   51.1,24,   40.2,24, 9999.9, 0, 9999.9, 0,  45.4,24,   3.5,24,   7.0, 999.9,   69.3*,  38.3*, 0.00I,999.9, 000000,
722146,12816, 19431113,   52.8,24,   39.8,24, 9999.9, 0, 9999.9, 0,  44.3,24,   1.7,24,   6.0, 999.9,   70.3*,  39.4*, 0.00I,999.9, 000000,
722146,12816, 19431114,   51.8,24,   35.5,24, 9999.9, 0, 9999.9, 0,  41.6,24,   3.0,24,   8.0, 999.9,   72.3*,  36.3*, 0.00I,999.9, 000000,
722146,12816, 19431115,   60.8,24,   51.6,24, 9999.9, 0, 9999.9, 0,  32.7,24,   2.5,24,   8.9, 999.9,   78.3*,  48.4*, 0.00I,999.9, 000000,
722146,12816, 19431116,   63.5,24,   56.3,24, 9999.9, 0, 9999.9, 0,  25.0,24,   1.5,24,   4.1, 999.9,   73.4*,  56.3*, 0.00I,999.9, 000000,
722146,12816, 19431117,   54.4,24,   40.1,24, 9999.9, 0, 9999.9, 0,  52.4,24,   6.4,24,  13.0, 999.9,   64.4*,  42.4*, 0.00I,999.9, 000000,
722146,12816, 19431118,   52.1,24,   42.2,23, 9999.9, 0, 9999.9, 0,   5.7,24,   5.1,24,   8.9, 999.9,   67.3*,  42.4*, 0.00I,999.9, 000000,
722146,12816, 19431119,   61.3,24,   50.4,24, 9999.9, 0, 9999.9, 0,   6.4,24,   5.4,24,   9.9, 999.9,   73.4*,  54.3*, 0.00I,999.9, 000000,
722146,12816, 19431120,   63.1,24,   52.8,24, 9999.9, 0, 9999.9, 0,  41.5,24,   6.3,24,   9.9, 999.9,   76.3*,  53.4*, 0.00I,999.9, 000000,
722146,12816, 19431121,   60.0,24,   50.2,24, 9999.9, 0, 9999.9, 0,  56.8,24,   5.2,24,  11.1, 999.9,   78.3*,  45.3*, 0.00I,999.9, 000000,
